835,2.5,FRMPD4,3
836,2.5,FRS2,3
837,2.5,FSTL3,3
838,2.5,FZD3,3
839,2.5,FZD6,3
840,2.5,GANAB,3
841,2.5,GAS1,3
842,2.5,GATA3,4
843,2.5,GCLC,4
844,2.5,GDF6,3
845,2.5,GHR,3
846,2.5,GLG1,3
847,2.5,GLI3,4
848,2.5,GPR158,3
849,2.5,GRIN2A,3
850,2.5,GRIN2B,3
851,2.5,GRM3,4
852,2.5,GSTM2,4
853,2.5,GUK1,3
854,2.5,HECW1,3
855,2.5,HEPH,3
856,2.5,HLA-G,4
857,2.5,HLF,3
858,2.5,HSPA2,3
859,2.5,ID1,4
860,2.5,IGF2,4
861,2.5,IGFBP2,5
862,2.5,IKBKB,3
863,2.5,IL13,4
864,2.5,IL13RA2,3
865,2.5,IL15,4
866,2.5,IL6ST,3
867,2.5,ING4,4
868,2.5,ITGA5,3
869,2.5,ITGA8,3
870,2.5,KCNB1,4
871,2.5,KDM1,3
872,2.5,KDM4B,3
873,2.5,KIAA1598,4
874,2.5,KIF2C,3
875,2.5,KLF4,4
876,2.5,KLK7,5
877,2.5,KTN1,4
878,2.5,LFNG,3
879,2.5,LHFP,3
880,2.5,LINGO2,5
881,2.5,LMNB2,3
882,2.5,LMO7,3
883,2.5,LPAR1,3
884,2.5,LRP5,3
885,2.5,LRP6,3
886,2.5,LRRC7,3
887,2.5,LYN,4
888,2.5,MAGEE1,3
889,2.5,MAML1,3
890,2.5,MAP2K6,4
891,2.5,MAP2K7,4
892,2.5,MAP4K4,3
893,2.5,MBD2,4
894,2.5,MKI67,4
895,2.5,MLF1IP,4
896,2.5,MLLT11,3
897,2.5,MN1,4
898,2.5,MNAT1,3
899,2.5,MYH11,3
900,2.5,MYOD1,3
901,2.5,NADK,3
902,2.5,NAT2,4
903,2.5,NCOA6,3
904,2.5,NEK10,4
905,2.5,NFATC1,3
906,2.5,NIPBL,3
907,2.5,NODAL,3
908,2.5,NR2E1,3
909,2.5,NUP153,3
910,2.5,NUPL1,3
911,2.5,P2RX7,3
912,2.5,PAPSS2,4
913,2.5,PCSK7,3
914,2.5,PDE4DIP,3
915,2.5,PEG3,3
